dataset,feature,classifier,iteration,accuracy,precision,recall,f1,kappa
bilbao,MFCC,KNeighborsClassifier,4,0.6307692307692307,0.6586691086691085,0.6282051282051282,0.6254514716053178,0.5996920708237106
bilbao,MFCC,KNeighborsClassifier,5,0.5076923076923077,0.5995726495726496,0.5153846153846153,0.5327450327450328,0.4661190965092402
bilbao,MFCC,KNeighborsClassifier,6,0.5692307692307692,0.583974358974359,0.5589743589743589,0.5582759121220661,0.5329740826276623
bilbao,MFCC,KNeighborsClassifier,7,0.5384615384615384,0.6047619047619047,0.5333333333333333,0.5386063910950788,0.4996150885296382
bilbao,MFCC,KNeighborsClassifier,8,0.5692307692307692,0.6075091575091575,0.5615384615384615,0.5671670210131748,0.5322539193009509
bilbao,MFCC,KNeighborsClassifier,9,0.5692307692307692,0.6517482517482519,0.5705128205128205,0.5698060486522025,0.5324942203955818
bilbao,MFCC,SVC,0,0.9076923076923077,0.9197802197802198,0.9076923076923079,0.9067479529017992,0.8999230177059276
bilbao,MFCC,SVC,1,0.8461538461538461,0.8738095238095238,0.8487179487179488,0.8456368417906879,0.8332905873300847
bilbao,MFCC,SVC,2,0.7846153846153846,0.8243589743589743,0.7730769230769231,0.7818950280488741,0.7661870503597122
bilbao,MFCC,SVC,3,0.9076923076923077,0.9115384615384616,0.9064102564102565,0.9047785547785547,0.8999486916367367
bilbao,MFCC,SVC,4,0.7692307692307693,0.8012820512820513,0.7705128205128206,0.7764013764013764,0.7499358809951269
bilbao,MFCC,SVC,5,0.8615384615384616,0.884981684981685,0.8628205128205126,0.858025308025308,0.8498459958932238
bilbao,MFCC,SVC,6,0.9076923076923077,0.9230769230769231,0.9038461538461539,0.904933954933955,0.8999486916367367
bilbao,MFCC,SVC,7,0.8615384615384616,0.8785714285714286,0.8628205128205129,0.8581640581640582,0.85
bilbao,MFCC,SVC,8,0.9230769230769231,0.9351648351648353,0.9256410256410258,0.9236865698404161,0.9166239096972807
bilbao,MFCC,SVC,9,0.8923076923076924,0.893956043956044,0.8935897435897435,0.8870509832048292,0.8832135523613963
cnsm,LTAS,KNeighborsClassifier,0,0.8865248226950354,0.9065627063833664,0.8511036763155407,0.8677248677248678,0.820178147978399
cnsm,LTAS,KNeighborsClassifier,1,0.8546099290780141,0.8911111111111111,0.8029565582531685,0.8203469292076887,0.7674063046933151
cnsm,LTAS,KNeighborsClassifier,2,0.851063829787234,0.8802074167927826,0.8027271363704541,0.819454679439941,0.7622546067686379
cnsm,LTAS,KNeighborsClassifier,3,0.875886524822695,0.8881981364906445,0.8449750239760738,0.8589037954363031,0.8039799809342231
cnsm,LTAS,KNeighborsClassifier,4,0.9078014184397163,0.9268518518518518,0.8850019814002864,0.9000263700808165,0.8546449387415249
cnsm,LTAS,KNeighborsClassifier,5,0.8829787234042553,0.9091116121245246,0.8507742003504714,0.8686202138561065,0.8145439327208593
cnsm,LTAS,KNeighborsClassifier,6,0.8794326241134752,0.9009503495345522,0.8425251464699492,0.8593482780674898,0.8087372830640335
cnsm,LTAS,KNeighborsClassifier,7,0.9042553191489362,0.9268092105263158,0.8688190308953021,0.8859288133180087,0.8482904279907548
cnsm,LTAS,KNeighborsClassifier,8,0.900709219858156,0.9175370022930998,0.8604656130829822,0.8765291524335055,0.8424989527855903
cnsm,LTAS,KNeighborsClassifier,9,0.8829787234042553,0.9094747775820801,0.8481542983661629,0.8661644915476922,0.8143589538989408
cnsm,LTAS,SVC,0,0.9539007092198581,0.9586724986130788,0.9557747820459684,0.9571184566779279,0.9282905932750425
cnsm,LTAS,SVC,1,0.950354609929078,0.9557508583370652,0.9474515374939103,0.951279520198621,0.9226155474538398
cnsm,LTAS,SVC,2,0.9290780141843972,0.9334629581723455,0.9271818227270455,0.929435174737809,0.8896130585403088
cnsm,LTAS,SVC,3,0.9468085106382979,0.944945243305899,0.9498697792383108,0.9472943722943722,0.9175149175149175
cnsm,LTAS,SVC,4,0.9609929078014184,0.9674199325747997,0.961807600578787,0.9644909688013136,0.9392645964678702
cnsm,LTAS,SVC,5,0.9645390070921985,0.9703961230509903,0.9647837910549776,0.9674671592775042,0.9447859967889729
cnsm,LTAS,SVC,6,0.9645390070921985,0.9609216793588318,0.9672384562590053,0.9635756075969333,0.9450485209867883
cnsm,LTAS,SVC,7,0.9645390070921985,0.9652670549460473,0.9675109431465364,0.9660985984889773,0.9449595003415634
cnsm,LTAS,SVC,8,0.950354609929078,0.9562210777728019,0.9475808027780429,0.951405364026983,0.922633744855967
cnsm,LTAS,SVC,9,0.9539007092198581,0.9589311251343586,0.9532085051152848,0.955761778647822,0.9282260117078137
cnsm,LTCC,KNeighborsClassifier,0,0.8900709219858156,0.9091530054644809,0.8540798667917312,0.8705390444327842,0.8257941094416325
cnsm,LTCC,KNeighborsClassifier,1,0.8546099290780141,0.8911111111111111,0.8029565582531685,0.8203469292076887,0.7674063046933151
cnsm,LTCC,KNeighborsClassifier,2,0.8546099290780141,0.8827055635262235,0.8083768538845785,0.8253799115123174,0.7681525597064308
cnsm,LTCC,KNeighborsClassifier,3,0.875886524822695,0.8881981364906445,0.8449750239760738,0.8589037954363031,0.8039799809342231
cnsm,LTCC,KNeighborsClassifier,4,0.9078014184397163,0.9268518518518518,0.8850019814002864,0.9000263700808165,0.8546449387415249
cnsm,LTCC,KNeighborsClassifier,5,0.8829787234042553,0.9091116121245246,0.8507742003504714,0.8686202138561065,0.8145439327208593
cnsm,LTCC,KNeighborsClassifier,6,0.8829787234042553,0.9035974499089253,0.8481748639840735,0.864767252217304,0.8145624103299857
