dataset,n_players,n_excerpts_per_player,iteration,accuracy,precision,recall,f1,kappa
bilbao,2,1,11,0.09230769230769231,0.007692307692307693,0.07692307692307693,0.013986013986013986,0.0013020833333333703
bilbao,2,1,12,0.07692307692307693,0.006203473945409429,0.07692307692307693,0.01148105625717566,-0.0007698229407235857
bilbao,2,1,13,0.13846153846153847,0.021675667785724714,0.12307692307692308,0.036782344474652166,0.05918842078056352
bilbao,2,1,14,0.13846153846153847,0.02234218023691708,0.13846153846153847,0.03834973166368515,0.06666666666666665
bilbao,2,2,0,0.09230769230769231,0.014733250620347395,0.09230769230769233,0.02541002541002541,0.01666666666666672
bilbao,2,2,1,0.15384615384615385,0.03733031674208145,0.14615384615384613,0.05927176272003858,0.07765737874097012
bilbao,2,2,2,0.06153846153846154,0.015426880811496197,0.06153846153846154,0.02091767881241565,-0.01797175866495504
bilbao,2,2,3,0.09230769230769231,0.018702865761689294,0.0923076923076923,0.030209790209790206,0.016666666666666496
bilbao,2,2,4,0.12307692307692308,0.046642246642246636,0.13076923076923078,0.05784853444427913,0.054364471669219094
bilbao,2,2,5,0.09230769230769231,0.012393162393162393,0.0923076923076923,0.02153846153846154,0.01666666666666683
bilbao,2,2,6,0.06153846153846154,0.013609467455621303,0.06153846153846154,0.022233250620347398,-0.016666666666666607
bilbao,2,2,7,0.1076923076923077,0.01650456822870616,0.11923076923076924,0.028995394849053387,0.040468312547722096
bilbao,2,2,8,0.1076923076923077,0.04304733727810651,0.11538461538461539,0.05869029755669432,0.0362985685071574
bilbao,2,2,9,0.07692307692307693,0.020979020979020976,0.07435897435897436,0.024242424242424246,-0.0012836970474967568
bilbao,2,2,10,0.1076923076923077,0.023116269919338975,0.1346153846153846,0.038534798534798534,0.0482201464276697
bilbao,2,2,11,0.12307692307692308,0.057087566521528785,0.13333333333333333,0.06440927493559073,0.06131238915632142
bilbao,2,2,12,0.18461538461538463,0.062493062493062496,0.1846153846153846,0.08920274263083626,0.1166666666666667
bilbao,2,2,13,0.12307692307692308,0.10244807982364544,0.12179487179487179,0.08158893766834213,0.049756347781482524
