dataset,player_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,Félix,Same Player,4,0.9090909090909091,0.9333333333333332,0.8888888888888888,0.8962962962962964,0.8607594936708861
cnsm,Félix,Different Player,4,0.9208301306687163,0.9103970864661655,0.919605938655125,0.9145159194282001,0.8771538842338791
cnsm,Félix,Same Player,5,1.0,1.0,1.0,1.0,1.0
cnsm,Félix,Different Player,5,0.9223674096848578,0.9103582535211081,0.9276257184201052,0.9172863174680436,0.8800893209128473
cnsm,Félix,Same Player,6,1.0,1.0,1.0,1.0,1.0
cnsm,Félix,Different Player,6,0.9177555726364335,0.9059405948478796,0.9219761800082754,0.9124536623208513,0.8728848304988015
cnsm,Félix,Same Player,7,0.9090909090909091,0.9333333333333332,0.8888888888888888,0.8962962962962964,0.8607594936708861
cnsm,Félix,Different Player,7,0.9046887009992314,0.8905784480815945,0.9079644036239962,0.8971212787822386,0.8529650075967411
cnsm,Félix,Same Player,8,1.0,1.0,1.0,1.0,1.0
cnsm,Félix,Different Player,8,0.9108378170637971,0.8965360159032046,0.916149542959312,0.903715617545641,0.8626321763437454
cnsm,Félix,Same Player,9,0.9545454545454546,0.9629629629629629,0.9444444444444445,0.9500891265597148,0.9308176100628931
cnsm,Félix,Different Player,9,0.9100691775557264,0.896734488357429,0.9125139014647861,0.9028747062096113,0.8610772158310479
cnsm,Céleste,Same Player,0,1.0,1.0,1.0,1.0,1.0
cnsm,Céleste,Different Player,0,0.8291761148904006,0.8533621667258638,0.8205489403470105,0.8302397279086876,0.7317840694818464
cnsm,Céleste,Same Player,1,1.0,1.0,1.0,1.0,1.0
cnsm,Céleste,Different Player,1,0.8246409674981103,0.8585137540645101,0.8093114719647496,0.8250277099398701,0.7230899144016052
cnsm,Céleste,Same Player,2,1.0,1.0,1.0,1.0,1.0
cnsm,Céleste,Different Player,2,0.8420256991685563,0.8676278770528256,0.8344138037829921,0.8464295977227284,0.751654844000079
cnsm,Céleste,Same Player,3,0.9444444444444444,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.9130434782608696
cnsm,Céleste,Different Player,3,0.8201058201058201,0.8403060204883621,0.7994444041582826,0.8137950246268416,0.7159468978010002
cnsm,Céleste,Same Player,4,1.0,1.0,1.0,1.0,1.0
cnsm,Céleste,Different Player,4,0.8284202569916855,0.8523038919684022,0.8250597057476653,0.8329407103665604,0.7310286828939756
cnsm,Céleste,Same Player,5,0.9444444444444444,0.9583333333333334,0.9523809523809524,0.9521367521367522,0.9142857142857143
cnsm,Céleste,Different Player,5,0.8979591836734694,0.8976427658065633,0.8836021170874805,0.8896866380776345,0.8403750455803178
cnsm,Céleste,Same Player,6,1.0,1.0,1.0,1.0,1.0
cnsm,Céleste,Different Player,6,0.8563869992441421,0.8683986098754269,0.8554803319094106,0.8613629209027827,0.7755633015596373
