dataset,excerpt_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,sibelius,Same Excerpt,7,0.9259259259259259,0.9393939393939394,0.914141414141414,0.9235209235209235,0.8846153846153846
cnsm,sibelius,Different Excerpt,7,0.6956862745098039,0.8007198028660195,0.5912201325349603,0.5348944121905017,0.49788119465096803
cnsm,sibelius,Same Excerpt,8,0.9259259259259259,0.9363636363636364,0.9363636363636364,0.9363636363636364,0.885593220338983
cnsm,sibelius,Different Excerpt,8,0.6282352941176471,0.6661922767943711,0.5328233547048887,0.478906662900816,0.3867499013178256
cnsm,sibelius,Same Excerpt,9,0.9259259259259259,0.9419191919191919,0.8888888888888888,0.902967563837129,0.8833693304535637
cnsm,sibelius,Different Excerpt,9,0.46588235294117647,0.572398190045249,0.39596674305907015,0.3069553149195859,0.12204732769316162
cnsm,glazounov,Same Excerpt,0,0.926829268292683,0.9407407407407407,0.9211328976034858,0.9295985060690942,0.885899814471243
cnsm,glazounov,Different Excerpt,0,0.7265948632974316,0.7864801515672233,0.7140051492348061,0.7234476096429624,0.5687736286198071
cnsm,glazounov,Same Excerpt,1,0.9024390243902439,0.9261904761904761,0.8814814814814814,0.8968235476856167,0.846441947565543
cnsm,glazounov,Different Excerpt,1,0.7183098591549296,0.8044256860576103,0.6686955051924293,0.6840673888403735,0.5469379283544125
cnsm,glazounov,Same Excerpt,2,0.9512195121951219,0.9592592592592593,0.9407407407407407,0.9486461251167134,0.9239332096474954
cnsm,glazounov,Different Excerpt,2,0.7373653686826843,0.8248838352276856,0.7149877313965124,0.7338715678469837,0.5819943103357864
cnsm,glazounov,Same Excerpt,3,0.975609756097561,0.9791666666666666,0.9803921568627452,0.9791463017269469,0.9623161764705882
cnsm,glazounov,Different Excerpt,3,0.8102734051367025,0.8157033885067149,0.7696494214665434,0.7821668571211787,0.6988319513603627
cnsm,glazounov,Same Excerpt,4,0.9512195121951219,0.9607843137254902,0.9607843137254902,0.9583333333333334,0.9247706422018349
cnsm,glazounov,Different Excerpt,4,0.7473073736536868,0.7936644054233675,0.7168635832787279,0.7316818807496097,0.5985397877839453
cnsm,glazounov,Same Excerpt,5,0.926829268292683,0.9375,0.9385620915032679,0.9374389051808407,0.8869485294117647
cnsm,glazounov,Different Excerpt,5,0.7837613918806959,0.7743361639970446,0.74610488106557,0.7547199253158601,0.6583821497741178
cnsm,glazounov,Same Excerpt,6,0.8780487804878049,0.8739495798319327,0.8470588235294118,0.8553921568627452,0.8091247672253259
